# Source data for Extended Data Figure 1,
,
# Extended Data Figure 1a: GALA-V delay resolution function,
# Freq Array: 6000 8500 10400 13300,
# Effective BW = 2685.12,
# GCM of Frq. Intvl= 100 [MHz],
# Ambguity = 10 [nsec],
# Columns are delay in nanoseconds and amplitude,
,
-13.9709,0.0104291
-13.9648,0.0102658
-13.9587,0.00990343
-13.9526,0.00935304
-13.9465,0.00863134
-13.9404,0.00776069
-13.9343,0.00676991
-13.9282,0.00569683
-13.9221,0.00459532
-13.916,0.00355516
-13.9099,0.00275185
-13.9038,0.00248341
-13.8977,0.00289176
-13.8916,0.00371544
-13.8855,0.0046789
-13.8794,0.0056424
-13.8733,0.00653757
-13.8672,0.00732624
-13.8611,0.00798515
-13.855,0.00850014
-13.8489,0.00886387
-13.8428,0.00907478
-13.8367,0.00913657
-13.8306,0.00905791
-13.8245,0.00885224
-13.8184,0.00853759
-13.8123,0.00813648
-13.8062,0.00767579
-13.8,0.00718646
-13.7939,0.00670285
-13.7878,0.00626106
-13.7817,0.00589562
-13.7756,0.00563393
-13.7695,0.00548972
-13.7634,0.00545853
-13.7573,0.00551874
-13.7512,0.00563783
-13.7451,0.00578038
-13.739,0.00591408
-13.7329,0.00601287
-13.7268,0.00605777
-13.7207,0.00603658
-13.7146,0.00594312
-13.7085,0.0057764
-13.7024,0.00553979
-13.6963,0.0052403
-13.6902,0.00488787
-13.6841,0.00449471
-13.678,0.00407467
-13.6719,0.00364259
-13.6658,0.00321357
-13.6597,0.00280217
-13.6536,0.00242136
-13.6475,0.00208114
-13.6414,0.00178676
-13.6353,0.00153711
-13.6292,0.00132388
-13.623,0.00113289
-13.6169,0.000947313
-13.6108,0.000751584
-13.6047,0.000534169
-13.5986,0.000288731
-13.5925,1.40E-05
-13.5864,0.000286742
-13.5803,0.000606948
-13.5742,0.00093728
-13.5681,0.00126661
-13.562,0.00158274
-13.5559,0.00187302
-13.5498,0.00212505
-13.5437,0.00232723
-13.5376,0.00246941
-13.5315,0.00254343
-13.5254,0.00254381
-13.5193,0.0024686
-13.5132,0.00232066
-13.5071,0.00211001
-13.501,0.00185868
-13.4949,0.00161088
-13.4888,0.00144774
-13.4827,0.00147565
-13.4766,0.00174044
-13.4705,0.0021871
-13.4644,0.0027375
-13.4583,0.00333451
-13.4521,0.00393896
-13.446,0.00452139
-13.4399,0.00505762
-13.4338,0.00552697
-13.4277,0.00591164
