pl_name,hostname,default_flag,soltype,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_mass,st_met,st_meterr1,st_meterr2,st_age,st_logg,sy_dist,pl_refname,st_refname,disc_refname
"K2-150 b","K2-150",1,"Published Confirmed",2018,"Transit",10.59357000000,0.0727000000,,,4.9000,2.00000000,0.27000000,-0.21000000,0.17842805,,,,,,,"M2.5 V",3499.00,70.00,-70.00,0.436000,0.457000,0.0900,0.1200,-0.1200,,4.822000,102.48300000,"<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>"
"K2-152 b","K2-152",1,"Published Confirmed",2018,"Transit",32.64790000000,0.1716000000,,337.00,,2.29000000,0.25000000,-0.24000000,0.20430012,,,,,,,,4044.00,34.00,-35.00,0.610000,0.630000,0.1200,0.0900,-0.0800,,4.670000,108.44900000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>"
"K2-153 b","K2-153",1,"Published Confirmed",2018,"Transit",7.51574000000,0.0614000000,,497.00,,2.00000000,0.21000000,-0.18000000,0.17842805,,,,,,,,3845.00,37.00,-37.00,0.530000,0.550000,-0.0900,0.0800,-0.0800,,4.730000,143.12500000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>"
"K2-154 b","K2-154",1,"Published Confirmed",2018,"Transit",3.67626000000,0.0405000000,,715.00,,1.99000000,0.21000000,-0.11000000,0.17753591,,,,,,,,4097.00,40.00,-45.00,0.630000,0.650000,0.2100,0.0900,-0.1000,,4.650000,129.35600000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>"
"K2-154 c","K2-154",1,"Published Confirmed",2018,"Transit",7.95486000000,0.0677000000,,552.00,,2.07000000,0.18000000,-0.13000000,0.18467303,,,,,,,,4097.00,40.00,-45.00,0.630000,0.650000,0.2100,0.0900,-0.1000,,4.650000,129.35600000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>"
"K2-155 b","K2-155",1,"Published Confirmed",2018,"Transit",6.34200000000,0.0562000000,,708.00,,1.80000000,0.20000000,-0.10000000,0.16058524,,,,,,,,4258.00,150.00,-150.00,0.580000,0.650000,-0.3000,0.2000,-0.2000,,4.600000,72.79980000,"<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>","<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..124H/abstract target=ref>Hirano et al. 2018</a>"
"K2-155 c","K2-155",1,"Published Confirmed",2018,"Transit",13.85000000000,0.0946000000,,583.00,,2.60000000,0.70000000,-0.20000000,0.23195646,,,,,,,,4258.00,150.00,-150.00,0.580000,0.650000,-0.3000,0.2000,-0.2000,,4.600000,72.79980000,"<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>","<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..124H/abstract target=ref>Hirano et al. 2018</a>"
"K2-155 d","K2-155",1,"Published Confirmed",2018,"Transit",40.71800000000,0.1937000000,,381.00,,1.90000000,0.70000000,-0.20000000,0.16950665,,,,,,,,4258.00,150.00,-150.00,0.580000,0.650000,-0.3000,0.2000,-0.2000,,4.600000,72.79980000,"<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>","<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..124H/abstract target=ref>Hirano et al. 2018</a>"
"KELT-21 b","KELT-21",1,"Published Confirmed",2018,"Transit",3.61276470000,0.0522400000,0.000000,2051.00,2950.0000,17.77747400,0.43715100,-0.44836000,1.58600000,1242.71530000,,,3.91000000,"Mass",1.240000,"A8 V",7598.00,81.00,-84.00,1.638000,1.458000,-0.4050,0.0320,-0.0330,1.6000,4.173000,470.87800000,"<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>","<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>","<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>"
"HD 215152 d","HD 215152",1,"Published Confirmed",2018,"Radial Velocity",10.86499000000,0.0879900000,0.000000,,,,,,,2.80100000,0.80900000,-0.92300000,0.00881289,"Msini",,"K3 V",4935.00,76.00,-76.00,0.730000,0.770000,-0.1000,0.0400,-0.0400,,4.400000,21.59740000,"<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>","<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>","<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>"
